p (mbar),Tpot (K),rho (g/m**3),wd(deg)
998.98,288.87,1197.8,215.2
999.02,288.78,1198.23,209.9
999,288.69,1198.59,232.6
999.07,288.58,1199.16,250.3
999.19,288.51,1199.56,296.5
999.34,288.5,1199.71,6.9
999.52,288.52,1199.76,352
999.62,288.59,1199.54,272.3
999.7,288.59,1199.64,260.4
999.79,288.64,1199.5,282.5
999.9,288.67,1199.45,253
999.99,288.73,1199.24,235.7
1000.05,288.83,1198.88,241.1
1000.09,288.95,1198.36,183.9
1000.17,289.17,1197.55,44.68
1000.29,289.1,1197.93,14.61
1000.38,289.27,1197.27,341.6
1000.41,289.41,1196.74,21.87
1000.44,289.36,1196.96,358.3
1000.55,289.48,1196.55,18.1
1000.65,289.5,1196.61,2.82
1000.69,289.45,1196.81,25.34
1000.78,289.37,1197.26,27.4
1000.8,289.43,1196.95,308.6
1000.91,289.61,1196.27,356.5
1001,289.8,1195.62,296.9
1001.07,289.81,1195.64,327.5
1001.15,289.85,1195.53,21.28
1001.15,289.91,1195.32,20.62
1001.17,290.23,1194.03,16.7
1001.29,290.48,1193.12,29.76
1001.38,290.38,1193.67,22.66
1001.37,290.35,1193.84,30.71
1001.33,290.71,1192.26,17.02
1001.37,290.83,1191.86,21.68
1001.36,290.94,1191.41,11.06
1001.37,291.16,1190.47,39.55
1001.35,291.87,1187.57,346.2
1001.25,292.37,1185.45,292.2
1001.15,292.08,1186.6,36.89
1001.13,291.48,1189.09,20.05
1001.06,291.5,1188.94,52.18
1001.05,291.56,1188.78,47.28
1000.98,291.79,1187.76,354.4
1000.89,292.81,1183.48,204.8
1000.94,293.23,1181.82,65.39
1000.91,292.82,1183.49,40.82
1000.85,292.56,1184.53,33.74
1000.78,292.84,1183.29,31.79
1000.75,293.27,1181.73,63.28
1000.64,293.3,1181.75,53.23
1000.55,293.8,1179.52,91.8
1000.54,293.79,1179.51,55.91
1000.4,293.25,1181.6,44.63
1000.35,293.31,1181.22,41.75
1000.38,293.93,1178.71,55.81
1000.41,293.39,1181.11,61.09
1000.29,293.82,1179.35,101.5
1000.21,294.52,1176.45,54.89
1000.22,294.26,1177.75,51.01
1000.2,293.96,1179.09,45.02
1000.19,294.23,1177.85,39.01
1000.18,294.2,1177.67,22.91
1000.14,294.02,1178.44,40.66
999.98,293.94,1178.64,22.78
999.91,294.24,1177.43,36.38
999.92,294.16,1177.88,38.07
999.96,294.02,1178.49,38.22
999.93,294.01,1178.54,28.94
999.93,294.03,1178.43,51.26
999.93,293.95,1178.77,67.99
999.93,293.87,1179.11,70.4
999.88,293.76,1179.6,75.6
999.9,293.76,1179.56,67.51
999.87,293.63,1179.93,46.91
999.94,293.68,1179.77,73.5
999.99,293.56,1180.4,65.54
999.94,293.12,1182.13,67.8
999.92,292.84,1183.18,68.16
999.98,292.65,1183.97,61.33
1000.13,292.48,1184.81,58.65
1000.2,292.29,1185.65,59.76
1000.18,292.1,1186.44,57.99
1000.18,291.72,1187.93,40.49
1000.21,291.38,1189.35,256.8
1000.36,290.95,1191.27,224.4
1000.47,290.68,1192.49,210.1
1000.56,290.6,1192.92,358.9
1000.6,290.32,1194.15,243
1000.57,290.28,1194.35,262.6
1000.65,289.91,1196.02,197.4
1000.8,289.78,1196.68,126.3
1000.87,289.59,1197.61,39.59
1000.9,289.63,1197.48,87.7
1000.92,289.35,1198.6,197
1000.88,289.11,1199.63,229.8
1000.79,288.95,1200.27,224.1
1000.78,288.76,1201.08,230.1
1000.82,288.69,1201.38,249.7
1000.87,288.57,1201.96,228.7
1001,288.55,1202.19,247.4
1000.82,288.38,1202.77,358.7
1000.83,287.77,1205.2,51.93
1000.86,287.48,1206.52,72.5
1000.86,286.9,1208.89,28.55
1000.89,286.63,1210.15,264.3
1000.9,286.32,1211.64,235.2
1000.81,286.71,1209.92,228.5
1000.78,286.51,1210.81,239.4
1000.73,286.33,1211.53,233
1000.74,286.24,1211.92,233.7
1000.71,286,1212.9,240
1000.64,285.88,1213.36,239.6
1000.57,285.8,1213.62,234.5
1000.49,285.6,1214.48,249.3
1000.38,285.25,1215.89,68.71
1000.4,284.69,1218.45,210.9
1000.41,284.53,1219.06,229.2
1000.4,284.51,1219.1,219.1
1000.34,284.53,1218.87,227.7
1000.35,284.53,1218.85,212.5
1000.29,284.52,1218.88,165.7
1000.23,284.44,1219.2,128.9
1000.17,284.32,1219.76,119.7
1000.08,284.04,1220.96,159.5
1000.04,283.85,1221.78,188.2
999.94,283.71,1222.29,216.5
999.93,283.67,1222.49,215.3
999.93,283.68,1222.41,205.3
999.89,283.68,1222.35,199.2
999.82,283.4,1223.61,192.4
999.78,283.28,1224.14,181.8
999.67,283.34,1223.76,194.3
999.59,283.26,1224.02,197.7
999.49,283.27,1223.88,197.7
999.43,283.16,1224.35,198.7
999.29,283.2,1224.03,220.7
999.19,283.11,1224.38,209
999.1,283.01,1224.73,206.6
998.98,283,1224.66,201.3
998.93,282.99,1224.68,160
998.92,282.99,1224.65,130.4
998.85,282.99,1224.57,131.4
998.76,282.83,1225.26,10.99
998.7,282.78,1225.47,40.25
998.71,282.52,1226.67,143.7
998.7,282.24,1228.02,186.1
998.79,282.22,1228.15,207.9
998.82,282.23,1228.13,227.7
998.84,282.3,1227.76,194.9
998.91,282.45,1227.13,186.8
998.94,282.58,1226.55,178.2
998.94,282.46,1227.12,137.3
998.92,282.52,1226.8,188.2
998.87,282.45,1227.06,214.5
998.86,282.42,1227.19,241.7
998.84,282.5,1226.78,237.2
998.81,282.73,1225.71,200.1
998.78,282.89,1224.91,198.6
998.82,283.08,1224.08,199.7
998.78,283.71,1221.08,158.3
998.67,284.64,1216.73,182
998.61,285.6,1212.24,213
998.6,286.67,1207.23,183.2
998.58,287.52,1203.49,131.5
998.51,287.81,1202.61,196.4
998.44,288.23,1201.13,166.4
998.43,288.59,1199.65,181.4
998.34,289.22,1196.9,191.6
998.26,289.86,1194.04,164
998.1,290.7,1190.44,159.9
998.05,291.02,1188.96,178.2
998,291.43,1187.24,195.2
997.89,291.95,1185.04,158.2
997.75,292.5,1182.59,151.2
997.61,293.08,1180.06,130
997.39,293.61,1177.59,155.1
997.27,294.05,1175.68,177.7
997.12,294.09,1175.33,190.6
996.96,294.38,1173.95,197.8
996.76,295.06,1171.01,180.5
996.64,295.06,1170.91,324.8
996.49,294.85,1171.63,80.6
996.24,295.16,1170.1,35.11
996.13,295.34,1169.35,40.5
996.02,295.69,1167.85,76.3
995.89,296.26,1165.41,79.4
995.79,296.89,1162.76,117.7
995.69,297.09,1161.99,96.2
995.6,297.3,1161.1,157.4
995.47,297.28,1161.09,143.7
995.35,297.7,1159.29,165
995.24,297.83,1158.59,106.3
995.09,297.61,1159.37,71.5
995.02,297.93,1158.05,144
994.9,298.02,1157.61,132.3
994.75,298.13,1156.97,132.1
994.59,298.01,1157.28,127.4
994.5,298.24,1156.2,144.7
994.45,298.34,1155.76,151.4
994.33,298.64,1154.41,160.6
994.23,298.78,1153.69,127.9
994.06,298.7,1153.87,122.4
993.91,298.75,1153.5,107.9
993.78,298.61,1153.87,106.3
993.76,299.01,1152.25,132.9
993.63,299.11,1151.7,91.6
993.43,299.22,1150.99,109.7
993.29,299.1,1151.35,89
993.26,298.96,1151.85,82.9
993.18,298.9,1151.97,99.6
993.03,299.24,1150.51,101
992.85,299.08,1150.95,88.1
992.77,299.06,1151.05,76.9
992.67,299.02,1151.16,84.9
992.54,299.12,1150.64,92.8
992.41,299.14,1150.51,89.9
992.24,299.11,1150.5,81.6
992.02,299.09,1150.33,59.2
991.93,299.05,1150.39,59.16
991.85,298.89,1150.94,52.5
991.81,298.58,1152.12,59
991.73,298.34,1152.95,47.85
991.76,298.08,1153.94,44.8
991.69,297.85,1154.77,42.95
991.68,297.54,1155.95,35.24
991.69,297.28,1156.98,11.19
991.61,297.22,1157.19,351.3
991.67,297.16,1157.46,325
991.68,297.18,1157.43,20.3
991.69,297.2,1157.4,18.79
991.66,296.88,1158.6,24.03
991.63,296.37,1160.58,10.28
991.59,295.9,1162.36,75.8
991.57,295.62,1163.45,60.45
991.63,295.22,1165.08,39.2
991.64,294.93,1166.24,34.24
991.59,294.71,1167.12,230.2
991.55,294.83,1166.62,339
991.54,294.86,1166.55,23.1
991.47,294.51,1167.85,43.41
991.45,294.09,1169.51,34.56
991.46,293.82,1170.62,339.1
991.45,293.62,1171.44,346.8
991.39,293.52,1171.82,90.2
991.37,293.23,1172.96,15.88
991.34,293.01,1173.83,104.4
991.32,292.77,1174.78,74.1
991.26,292.32,1176.54,46.5
991.22,292.02,1177.76,71.3
991.22,291.82,1178.6,217.2
991.25,291.6,1179.52,212.2
991.19,291.55,1179.71,205.1
991.1,291.35,1180.44,211.4
991.08,291.12,1181.43,216.7
991.05,291.1,1181.47,213.6
991.02,290.84,1182.54,210.4
990.98,290.64,1183.27,210.4
990.98,290.53,1183.73,209.7
990.99,290.32,1184.64,219.9
990.92,290.15,1185.32,110.9
990.81,290.05,1185.6,81.6
990.7,289.98,1185.8,69.47
990.65,289.91,1186.07,39.86
990.63,289.67,1187.14,43.92
990.57,289.48,1187.87,42.75
990.48,289.21,1189.02,151.8
990.37,289.1,1189.39,218.2
990.33,289.27,1188.52,231.6
990.23,289.39,1187.98,210.7
990.17,289.37,1188.09,336.2
990.15,289.25,1188.62,81.7
990.11,289.03,1189.52,21.19
990.1,288.95,1189.85,38.85
990.05,288.76,1190.69,16.26
989.93,288.6,1191.37,60.92
989.84,288.33,1192.51,140.4
989.75,288.2,1192.95,136.4
989.72,288.11,1193.3,127.4
989.69,288.05,1193.52,121.4
989.6,287.96,1193.87,43.28
989.53,287.87,1194.25,87.4
989.46,287.63,1195.26,140.1
989.39,287.44,1196.07,160
989.39,287.35,1196.46,140
989.4,287.35,1196.4,27.95
989.35,287.5,1195.68,76.1
989.27,287.36,1196.27,19.38
989.24,287.16,1197.15,177.8
989.16,286.86,1198.45,190.9
989.12,286.62,1199.54,142.9
989.13,286.6,1199.58,131.5
989.11,286.6,1199.6,136.2
989.09,286.6,1199.58,118.1
989,286.58,1199.6,80.1
988.96,286.7,1199,108.5
988.92,286.98,1197.68,123
988.92,287.67,1194.61,126.2
988.9,288.02,1193.13,130.4
988.82,288.6,1190.69,128.2
988.75,288.97,1189.14,125.3
988.65,289.01,1188.91,121.9
988.57,288.88,1189.33,129
988.47,289.85,1184.99,139.2
988.45,290.99,1180.31,138.9
988.43,291.34,1178.78,164.3
988.36,291.69,1177.21,179.6
988.27,291.91,1176.17,196.2
988.25,292.14,1175.21,195.3
988.22,292.55,1173.46,191.5
988.14,293.09,1171.2,158.3
988.05,293.73,1168.52,145.7
987.99,293.94,1167.57,125.9
987.94,294.31,1166.04,124.1
987.9,294.57,1164.93,137.5
987.78,295.69,1160.4,156.2
987.65,296.25,1158.03,144.8
987.59,296.84,1155.63,150.5
987.52,297.1,1154.63,150.5
987.44,297.42,1153.25,155
987.36,297.74,1151.93,153.1
987.17,298.19,1150.06,137.7
987.03,298.58,1148.38,153.3
987.07,298.97,1146.88,138
986.96,298.85,1147.28,112.1
986.83,299.21,1145.73,117.2
986.77,299.8,1143.6,160.2
986.73,300.18,1142.22,179.2
986.65,300.36,1141.7,198.3
986.59,300.48,1141.18,192.8
986.48,300.6,1140.48,168.6
986.42,300.7,1140.07,149.4
986.44,300.93,1139.29,157.4
986.42,301.08,1138.73,160
986.36,300.96,1139.15,176.3
986.27,301.43,1137.43,178.4
986.17,301.52,1137.05,180.4
986,301.87,1135.57,169
985.92,302.11,1134.7,181.4
985.79,302.07,1134.73,172.3
985.79,302.14,1134.5,167.4
985.71,302.21,1134.32,181.4
985.64,302.15,1134.39,169.6
985.67,302.12,1134.54,183.9
985.63,302.23,1134.12,192.4
985.6,302.17,1134.29,179.1
985.53,302.46,1133,178
985.49,302.48,1132.8,165.6
985.42,302.73,1131.77,179.5
985.42,302.62,1132.26,198.3
985.4,302.66,1132,187.8
985.3,302.67,1131.84,182.4
985.22,302.88,1130.9,201.2
985.2,302.81,1131.08,228.2
985.18,302.69,1131.46,201.7
985.19,302.78,1131.07,211
985.19,302.81,1130.86,179.3
985.24,302.62,1131.58,180.4
985.2,302.62,1131.57,181.4
985.28,302.5,1132.24,213.7
985.31,302.27,1133.22,223.6
985.34,302.01,1134.17,223.5
985.39,301.75,1135.14,231.4
985.36,301.61,1135.55,234.9
985.4,301.38,1136.39,229.3
985.33,300.88,1138.11,231
985.33,300.54,1139.34,236.5
985.38,300.23,1140.5,238.3
985.43,299.92,1141.7,240.8
985.47,299.66,1142.7,240.9
985.57,299.34,1144.01,237
985.67,298.85,1145.97,227.9
985.78,298.52,1147.37,234.3
985.9,298.4,1147.95,233.4
985.99,298.26,1148.59,242.2
986.04,298.32,1148.45,249.4
986.05,298.68,1147.1,249.1
986.16,298.59,1147.52,258.4
986.21,297.44,1151.93,103.8
986.32,296.58,1155.43,230.8
986.41,296.26,1156.71,225
986.42,296.17,1157.05,229.9
986.41,296.34,1156.54,239.5
986.47,295.83,1158.55,204.6
986.61,295.46,1160.09,220.1
986.67,295.35,1160.46,215.3
986.62,295.35,1160.42,83.1
986.63,295.06,1161.58,310.3
986.68,294.5,1164.03,210.2
986.76,294.57,1163.87,210.7
986.82,294.38,1164.66,194.5
986.9,294.4,1164.68,285.3
986.94,293.93,1166.57,185.4
987,293.61,1167.89,223.8
987.08,293.39,1168.86,208.1
987.2,293.41,1168.92,188
987.27,293.09,1170.21,138.5
987.3,292.69,1171.77,132.7
987.42,292.36,1173.17,155.6
987.52,292.12,1174.25,185.2
987.58,292.14,1174.17,161.4
987.63,292.06,1174.53,179.5
987.66,291.92,1175.11,145.1
987.68,291.76,1175.79,64.57
987.71,291.74,1175.93,27.8
987.8,291.69,1176.2,228.8
987.9,291.65,1176.44,271.5
987.93,291.81,1175.83,48.35
987.97,291.69,1176.4,95.6
988.04,291.45,1177.46,205.7
988.06,291.3,1178.06,203.8
988.07,291.17,1178.6,211.2
988.08,290.93,1179.62,211.3
988.09,290.74,1180.38,217.2
988.17,290.68,1180.72,211.5
988.26,290.65,1180.92,184.6
988.34,290.52,1181.52,214.8
988.41,290.39,1182.13,247
988.45,290.43,1181.99,261.4
988.49,290.46,1181.94,246.8
988.57,290.47,1181.94,230.4
988.6,290.52,1181.79,208.4
988.68,290.48,1182,220.7
988.74,290.42,1182.34,129
988.74,290.29,1182.9,280.8
988.82,290.17,1183.45,193.6
988.86,290.1,1183.79,66.12
988.88,290.1,1183.8,29.96
988.94,290.22,1183.34,97.8
989.01,290.32,1183,94.7
989.11,290.37,1182.89,87.9
989.13,290.38,1182.87,49.54
989.16,290.3,1183.23,66.51
989.27,290.12,1184.09,235.2
989.39,290.01,1184.63,243.7
989.53,289.97,1184.95,195.7
989.6,289.82,1185.73,143.1
989.72,289.42,1187.5,141.6
989.81,289.44,1187.45,343.3
989.91,289.6,1186.89,182.9
989.98,289.44,1187.63,208.1
990.03,289.63,1186.81,212.6
990.11,289.75,1186.37,223.6
990.21,289.92,1185.73,128.2
990.32,290.18,1184.75,352.7
990.42,290.45,1183.71,76.6
990.5,290.75,1182.51,97
990.58,291.35,1180.06,93.1
990.67,292.1,1176.99,129.2
990.79,292.45,1175.6,126.6
990.94,292.89,1174,139.8
991.04,293.69,1170.81,120.7
991.03,294.35,1168.09,137.7
991.06,294.87,1166.02,122.7
991.14,295.67,1162.81,131.2
991.2,295.78,1162.41,111.5
991.22,295.78,1162.45,159.4
991.22,296.14,1161.06,84.8
991.23,296.26,1160.72,52.27
991.31,296.76,1158.75,137.1
991.33,297.45,1156.06,180.4
991.32,297.56,1155.66,304.2
991.32,297.45,1156.24,44.44
991.32,297.24,1157.25,51.52
991.3,297.28,1157.02,67.67
991.25,297.57,1155.8,49.77
991.23,297.49,1156.17,47.36
991.22,297.71,1155.34,50.2
991.17,298.04,1153.96,20.01
991.08,298.07,1153.73,34.51
991.08,298.33,1152.98,29.93
991.08,298.27,1153.36,42.85
991.06,298.6,1151.93,62.1
991.07,298.47,1152.21,29.16
991.07,298.23,1153.23,34.83
991.02,298.57,1151.93,39.29
991.07,299.14,1149.7,12.07
991.09,298.82,1151.02,47.11
991.07,298.99,1150.37,27.7
991.07,299.31,1149.25,10.81
991.07,298.83,1151.19,352
991.04,298.56,1152.3,23.94
990.95,298.77,1151.51,45.49
990.94,299.01,1150.55,348.9
990.89,299.64,1147.98,337.2
990.82,299.74,1147.34,24.19
990.82,299.49,1148.5,17.64
990.75,299.02,1150.28,32.03
990.72,299.2,1149.67,35.3
990.71,299.83,1147.22,28.68
990.67,299.73,1147.46,21.04
990.6,299.45,1148.61,19.18
990.56,299.65,1148.06,17.71
990.47,300.3,1145.33,41.57
990.46,300.51,1144.34,348
990.45,300.49,1144.5,12.83
990.42,300.29,1145.21,11.28
990.34,300.45,1144.5,17.2
990.33,300.91,1142.76,47.01
990.32,300.85,1142.97,26.62
990.29,300.38,1144.73,30.77
990.3,300.14,1145.78,32.18
990.25,300.1,1145.81,28.31
990.27,299.93,1146.63,41.59
990.29,299.78,1147.26,38.02
990.33,299.65,1147.7,39.78
990.34,299.53,1148.18,46.6
990.3,299.47,1148.32,38.95
990.32,299.26,1149.1,7.5
990.31,299.11,1149.7,16.78
990.36,299.03,1150.08,17.97
990.39,298.94,1150.37,8.89
990.45,298.69,1151.38,360
990.47,298.53,1152,11.73
990.53,298.29,1152.94,10.12
990.67,297.98,1154.21,1.2
990.72,297.57,1155.82,342.5
990.81,297.4,1156.6,347.5
990.85,296.7,1159.35,51.47
990.97,296.04,1161.99,2.02
991.11,295.84,1162.95,29
991.25,295.49,1164.32,47.54
991.29,295.26,1165.33,62.86
991.37,294.77,1167.26,39.14
991.39,294.6,1168.07,303.2
991.39,294.67,1167.9,333.8
991.44,294.83,1167.25,50.22
991.45,294.51,1168.5,43.08
991.51,294.14,1169.98,15.28
991.56,293.98,1170.64,46.48
991.58,293.78,1171.47,46.32
991.66,293.6,1172.25,38.12
991.7,293.36,1173.26,34.84
991.7,293.09,1174.34,62.7
991.7,292.96,1174.9,346.2
991.76,292.85,1175.36,49.66
991.75,292.36,1177.3,50.4
991.8,292.25,1177.84,31.49
991.87,292.05,1178.7,10.78
991.89,291.59,1180.6,287.9
991.92,291.55,1180.8,16.29
991.85,292.21,1177.92,19.13
991.79,292.04,1178.63,77.6
991.71,291.98,1178.76,94.5
991.73,291.74,1179.75,56.5
991.8,291.56,1180.62,80.2
991.84,291.39,1181.29,53.91
991.87,291.16,1182.3,186.9
991.86,290.9,1183.37,201.7
991.89,290.69,1184.28,157.1
991.9,290.24,1186.22,158.9
991.9,289.79,1188.08,178.5
991.94,289.65,1188.7,192.9
991.99,289.73,1188.39,204.9
992,289.64,1188.77,77.3
991.95,289.46,1189.53,133
992.04,289.32,1190.19,45.97
992.06,289.25,1190.51,47.38
992.06,289.19,1190.78,57.37
992.06,289.06,1191.35,127.3
992.07,288.94,1191.88,269.2
992.06,288.79,1192.5,183.9
992.03,288.72,1192.76,105
991.95,288.62,1193.16,160.7
991.94,288.37,1194.23,130.8
991.94,288.22,1194.88,133.7
991.91,288.19,1194.96,90.7
991.86,288.11,1195.26,11.6
991.83,288.02,1195.66,188.1
991.77,287.96,1195.84,201.3
991.71,287.93,1195.88,203.4
991.75,287.97,1195.72,215.6
991.76,288.02,1195.51,200.9
991.72,287.98,1195.68,185.1
991.69,287.84,1196.33,169.3
991.7,287.76,1196.67,209.3
991.75,287.65,1197.18,82.6
991.8,287.57,1197.61,95.7
991.81,287.65,1197.24,25.03
991.85,287.61,1197.46,100.5
991.88,287.56,1197.7,104.3
991.93,287.55,1197.8,89
991.94,287.5,1197.99,48.28
991.94,287.56,1197.71,185.4
991.91,287.7,1197.09,223
991.94,288.07,1195.56,128
991.93,288.37,1194.33,167.3
991.9,288.47,1193.9,191.4
991.92,289.04,1191.47,147.5
991.93,289.4,1189.95,182.6
991.93,289.76,1188.41,163.5
991.93,289.99,1187.46,156.9
991.97,290.07,1187.15,140.6
991.96,290.35,1185.93,183.1
991.94,290.62,1184.77,144.3
991.92,291,1183.14,156.4
991.89,291.27,1181.98,138
991.87,291.81,1179.66,119
991.84,291.78,1179.73,110.2
991.77,292.29,1177.53,128.6
991.79,293.21,1173.73,125.1
991.79,293.81,1171.26,101.3
991.71,293.47,1172.58,76.1
991.69,293.74,1171.37,68.35
991.6,294.54,1167.99,109.8
991.56,295.59,1163.75,148.1
991.49,296.45,1160.19,135
991.46,296.95,1158.11,186.9
991.41,297.08,1157.52,153.3
991.27,297.54,1155.6,150.1
991.2,297.9,1154.1,206.7
991.14,298.08,1153.3,222.4
991,298.29,1152.35,212.3
990.88,298.97,1149.52,189.4
990.75,299.58,1146.98,151.7
990.63,299.84,1145.89,169.5
990.57,300.02,1145.14,36.83
990.49,299.95,1145.43,77
990.38,299.72,1146.23,352.4
990.28,300.15,1144.38,51.19
990.19,300.37,1143.54,36.13
990.08,300.68,1142.32,336.3
989.98,300.92,1141.25,32.16
989.89,301.14,1140.27,50.41
989.76,301.56,1138.61,64.65
989.7,301.39,1139.25,45.6
989.61,301.74,1138.2,168
989.48,302.26,1136.12,174.8
989.38,301.99,1137.16,108.7
989.31,301.77,1137.93,62.24
989.23,301.89,1137.35,140.7
989.14,302.29,1135.97,166.3
989.09,301.83,1137.66,177.1
989.07,302.05,1136.71,151.4
989.01,302.17,1136.18,136.7
988.97,302.2,1136.09,135.7
988.97,302.6,1134.4,171.9
988.88,302.67,1134.09,187.4
988.8,302.13,1136.18,199.4
988.75,302.16,1136.13,204.3
988.7,302.14,1136.25,193.6
988.63,302.4,1134.99,148.3
988.61,302.01,1136.33,141
988.61,301.65,1137.64,143.9
988.6,301.58,1137.95,148.4
988.49,301.56,1138.09,159.7
988.4,301.74,1137.26,156.4
988.37,301.78,1137.1,167.9
988.29,301.68,1137.4,155.9
988.25,301.48,1138.06,146.9
988.25,301.36,1138.52,159.7
988.25,301.26,1138.96,143.7
988.27,301.02,1139.86,110
988.31,300.6,1141.52,72.2
988.36,300.2,1143.04,295.4
988.37,299.98,1143.92,25.97
988.39,299.81,1144.61,225.4
988.45,299.56,1145.63,352.2
988.5,299.25,1146.89,164.1
988.54,298.96,1148.05,246.7
988.6,298.7,1149.16,268.3
988.64,298.46,1150.1,22.77
988.73,298.22,1151.11,24.46
988.8,297.89,1152.42,13.21
988.84,297.53,1153.82,14.02
988.85,296.84,1156.45,36.67
988.87,296.6,1157.43,41.08
988.88,296.26,1158.78,62.7
988.96,295.83,1160.54,72.1
989,295.46,1162.07,250.1
989.09,295.13,1163.59,202.1
989.15,294.99,1164.27,211
989.24,295.06,1164.04,186.1
989.24,294.82,1165,44.17
989.24,294.46,1166.44,214.7
989.29,294.16,1167.68,220.8
989.34,294.09,1168.1,206.6
989.34,293.66,1169.82,200.6
989.36,293.44,1170.69,221.7
989.36,293.36,1171,200.3
989.36,293.1,1172.14,191.6
989.4,292.73,1173.56,196.4
989.44,292.48,1174.54,157.3
989.46,292.28,1175.27,180.4
989.48,292.06,1176.18,149.1
989.48,291.82,1177.14,108.6
989.51,291.68,1177.78,79.7
989.51,291.48,1178.69,169.5
989.5,291.37,1179.09,170.2
989.52,291.17,1180.06,199.6
989.52,291.13,1180.23,170.6
989.54,291.08,1180.37,111.6
989.51,291.08,1180.37,136.9
989.42,290.9,1181.07,177.7
989.41,290.6,1182.37,174.6
989.37,290.45,1182.94,188.4
989.35,290.36,1183.27,197.8
989.35,290.29,1183.58,161.8
989.36,290.18,1184.1,161.1
989.33,290.11,1184.35,139.8
989.39,289.92,1185.2,147.6
989.46,289.82,1185.72,144.3
989.49,289.73,1186.11,172
989.5,289.7,1186.24,129.7
989.49,289.64,1186.51,180.8
989.53,289.57,1186.88,117.5
989.59,289.37,1187.76,144.8
989.61,289.22,1188.42,118.2
989.6,289.15,1188.7,78.3
989.61,289.11,1188.9,105.2
989.64,289.06,1189.18,155.2
989.63,288.88,1189.94,197.7
989.62,288.79,1190.32,129.8
989.66,288.64,1191.05,162.1
989.65,288.51,1191.6,174.2
989.65,288.36,1192.27,182
989.68,288.28,1192.6,146.3
989.71,288.23,1192.86,341.4
989.69,288.17,1193.09,192.8
989.71,288.17,1193.09,44.05
989.77,288.2,1193.06,164
989.91,288.04,1193.86,216.8
989.99,287.91,1194.55,174.6
990.1,287.88,1194.77,85.5
990.21,288,1194.32,75.2
990.31,288.04,1194.24,39.41
990.4,288.08,1194.15,180
990.52,288.09,1194.21,202.8
990.6,288.08,1194.37,218.2
990.72,288.19,1194.01,200.1
990.83,288.47,1192.9,207.8
990.84,288.99,1190.67,210
990.85,289.48,1188.62,183
990.93,290.13,1185.98,135.9
991.01,290.82,1183.16,155.5
991.1,291.18,1181.73,109.3
991.23,291.36,1181.01,102.2
991.31,291.98,1178.54,139.3
991.35,292.58,1176.12,146.3
991.4,293.03,1174.29,158.4
991.41,293.16,1173.79,124.7
991.49,293.41,1172.83,180.9
991.58,293.73,1171.63,135
991.59,293.71,1171.7,132.9
991.62,293.4,1172.91,166.5
991.67,293.23,1173.57,201.7
991.71,293.47,1172.53,202.6
991.7,294.87,1166.72,155.1
991.73,295.67,1163.59,119.7
991.79,296.46,1160.43,130.8
991.8,297.23,1157.35,155.6
991.79,297.69,1155.46,217.5
991.79,298.06,1153.97,75.2
991.72,298.42,1152.42,65.75
991.68,298.75,1151.07,66.45
991.65,299.02,1149.99,70.8
991.63,299.18,1149.28,54.05
991.58,299.46,1148.1,76
991.56,299.8,1146.79,91.1
991.54,299.96,1146.14,63.19
991.55,300.2,1145.25,73.4
991.52,300.53,1143.96,81.4
991.54,300.85,1142.82,68.3
991.48,300.94,1142.51,128.5
991.45,301.24,1141.38,103.8
991.45,301.88,1138.89,180.8
991.4,302.38,1136.9,89.1
991.31,301.99,1138.36,91.9
991.29,301.65,1139.75,63.09
991.21,301.6,1139.92,105.9
991.14,302.29,1137.24,174.9
991.08,302.78,1135.29,167.1
991.08,302.84,1135.18,164.9
991.08,302.61,1136.1,33.31
991.08,302.4,1136.96,45.29
991.01,302.5,1136.51,54.89
991.02,302.2,1137.7,29.74
990.99,302.14,1137.98,11.63
990.96,302.3,1137.36,9.26
990.95,302.73,1135.7,31.59
990.94,302.58,1136.28,78
990.95,302.68,1135.91,79.6
990.94,302.56,1136.37,56.09
990.94,302.32,1137.31,41.71
990.95,301.99,1138.61,31.62
990.95,301.83,1139.11,47.31
990.94,301.82,1139.17,40.89
990.94,301.77,1139.29,2.72
990.91,301.74,1139.33,359.9
990.91,301.89,1138.71,9.37
990.91,301.95,1138.53,31.96
990.94,301.89,1138.82,43.23
990.94,301.72,1139.56,47.99
990.9,301.44,1140.55,17.23
990.85,301.07,1141.78,353
990.83,300.92,1142.45,358.8
990.85,300.82,1142.92,357.6
990.87,300.72,1143.36,2.58
990.99,300.64,1143.77,3.15
991.1,300.6,1144.02,7.71
991.19,300.4,1144.8,7.15
991.25,299.77,1147.31,180.8
991.37,299.42,1148.75,338.3
991.46,299.27,1149.46,11.22
991.64,298.82,1151.16,44.08
991.76,297.99,1154.05,50.27
991.85,298.06,1154.15,268.1
991.92,297.93,1154.57,97.4
991.96,297.3,1156.99,25.47
992.04,297.19,1157.58,94
992.09,296.86,1159.11,231.2
992.06,296.92,1159.05,229.4
992.1,296.78,1159.54,55.45
992.19,296.37,1161.08,39.83
992.22,296.07,1162.3,70.9
992.28,295.84,1163.25,169.4
992.3,295.84,1163.35,228.1
992.4,295.86,1163.5,233.2
992.42,295.83,1163.8,236.4
992.44,295.64,1164.42,28.72
992.51,295.42,1165.31,347.2
992.51,295.45,1165.35,189
992.56,294.95,1167.31,161.5
992.62,294.5,1169.2,178.9
992.66,294.32,1169.94,352
992.67,294.09,1170.82,347.6
