p (mbar),T (degC),Tpot (K),Tdew (degC),rh (%),VPmax (mbar),VPact (mbar),VPdef (mbar),sh (g/kg),H2OC (mmol/mol),rho (g/m**3),wv (m/s),max. wv (m/s),wd(deg)
998.17,15.94,289.25,13.94,87.9,18.14,15.95,2.19,10,15.97,1195.51,1.39,2.16,240.4
998.23,15.93,289.24,13.95,88,18.13,15.95,2.18,10,15.98,1195.62,1.18,2.2,244.1
998.33,15.93,289.23,13.95,88,18.13,15.95,2.18,10,15.98,1195.74,1.31,2.26,261.5
998.44,15.89,289.18,13.92,88.1,18.08,15.93,2.15,9.98,15.96,1196.05,1.55,2.8,256.6
998.51,15.87,289.15,13.92,88.2,18.06,15.93,2.13,9.98,15.95,1196.22,1.13,2.08,256.9
998.57,15.87,289.15,13.96,88.4,18.06,15.96,2.09,10,15.99,1196.28,1.06,1.96,248.2
998.67,15.87,289.14,13.99,88.6,18.06,16,2.06,10.03,16.02,1196.38,0.98,1.88,250.2
998.69,15.84,289.11,13.98,88.7,18.02,15.99,2.04,10.02,16.01,1196.54,1.14,2.04,255.6
998.7,15.81,289.08,13.99,88.9,17.99,15.99,2,10.02,16.01,1196.66,1.08,2.32,240.8
998.69,15.78,289.05,13.99,89.1,17.96,16,1.96,10.02,16.02,1196.78,1.34,2.28,238.9
998.75,15.73,288.99,13.98,89.3,17.9,15.98,1.92,10.01,16,1197.06,1.09,2.24,312.5
998.84,15.8,289.06,13.96,88.8,17.98,15.97,2.01,10,15.98,1196.89,0.6,1.42,195.2
998.94,15.82,289.07,13.98,88.8,18,15.99,2.02,10.01,16,1196.92,0.75,1.44,231.3
998.94,15.75,289,13.98,89.2,17.92,15.99,1.94,10.01,16,1197.21,0.73,1.64,177
998.96,15.7,288.95,13.95,89.3,17.86,15.95,1.91,9.99,15.97,1197.46,0.87,1.44,206.1
998.95,15.69,288.94,13.99,89.6,17.85,16,1.86,10.02,16.01,1197.46,0.82,1.76,142.2
998.94,15.73,288.98,13.99,89.4,17.9,16,1.9,10.02,16.02,1197.29,0.75,1.64,24.58
998.95,15.75,289,13.94,89,17.92,15.95,1.97,9.99,15.97,1197.24,0.55,1,230.2
998.98,15.63,288.87,13.88,89.3,17.78,15.88,1.9,9.95,15.9,1197.8,0.68,1.4,215.2
999.02,15.54,288.78,13.86,89.7,17.68,15.86,1.82,9.93,15.88,1198.23,0.81,1.48,209.9
999,15.45,288.69,13.84,90.1,17.58,15.84,1.74,9.92,15.86,1198.59,0.84,1.58,232.6
999.07,15.34,288.58,13.78,90.4,17.46,15.78,1.68,9.88,15.79,1199.16,1.3,2.08,250.3
999.19,15.28,288.51,13.77,90.7,17.39,15.77,1.62,9.88,15.78,1199.56,1.15,2.32,296.5
999.34,15.29,288.5,13.75,90.5,17.4,15.75,1.65,9.86,15.76,1199.71,1.23,2.28,6.9
999.52,15.32,288.52,13.83,90.8,17.43,15.83,1.6,9.91,15.84,1199.76,0.9,1.92,352
999.62,15.4,288.59,13.86,90.5,17.52,15.86,1.66,9.93,15.86,1199.54,0.58,1.28,272.3
999.7,15.4,288.59,13.84,90.4,17.52,15.84,1.68,9.92,15.85,1199.64,0.73,1.54,260.4
999.79,15.46,288.64,13.85,90.1,17.59,15.85,1.74,9.92,15.85,1199.5,0.83,1.56,282.5
999.9,15.5,288.67,13.87,90,17.64,15.87,1.76,9.93,15.87,1199.45,1.23,1.92,253
999.99,15.57,288.73,13.94,90,17.72,15.94,1.77,9.98,15.94,1199.24,0.97,2,235.7
1000.05,15.67,288.83,13.99,89.7,17.83,15.99,1.84,10.01,15.99,1198.88,0.83,1.36,241.1
1000.09,15.8,288.95,14.03,89.2,17.98,16.04,1.94,10.03,16.04,1198.36,0.43,0.8,183.9
1000.17,16.02,289.17,14.04,88,18.23,16.05,2.19,10.04,16.04,1197.55,0.92,1.58,44.68
1000.29,15.96,289.1,14.05,88.4,18.16,16.06,2.11,10.05,16.05,1197.93,0.83,1.84,14.61
1000.38,16.14,289.27,14.12,87.8,18.37,16.13,2.24,10.09,16.13,1197.27,0.39,0.84,341.6
1000.41,16.28,289.41,14.08,86.8,18.54,16.09,2.45,10.07,16.08,1196.74,0.64,2.12,21.87
1000.44,16.24,289.36,14.04,86.8,18.49,16.05,2.44,10.04,16.04,1196.96,0.78,1.62,358.3
1000.55,16.37,289.48,14.04,86.1,18.65,16.05,2.59,10.04,16.04,1196.55,0.61,1.32,18.1
1000.65,16.39,289.5,14.01,85.8,18.67,16.02,2.65,10.02,16.01,1196.61,0.82,1.46,2.82
1000.69,16.35,289.45,14.02,86.1,18.62,16.03,2.59,10.03,16.02,1196.81,1.08,2.2,25.34
1000.78,16.27,289.37,14.02,86.5,18.53,16.03,2.5,10.02,16.01,1197.26,1.1,2.34,27.4
1000.8,16.34,289.43,14.1,86.6,18.61,16.12,2.49,10.08,16.1,1196.95,0.61,1.48,308.6
1000.91,16.53,289.61,14.15,85.8,18.84,16.16,2.67,10.1,16.15,1196.27,0.62,1.32,356.5
1001,16.72,289.8,14.12,84.6,19.07,16.13,2.94,10.08,16.11,1195.62,0.74,1.9,296.9
1001.07,16.74,289.81,14.04,84.1,19.09,16.05,3.04,10.04,16.04,1195.64,1.11,2.36,327.5
1001.15,16.79,289.85,14.06,83.9,19.15,16.07,3.08,10.04,16.05,1195.53,1.19,2.34,21.28
1001.15,16.85,289.91,13.99,83.2,19.22,15.99,3.23,10,15.98,1195.32,1.3,2.48,20.62
1001.17,17.17,290.23,13.96,81.4,19.62,15.97,3.65,9.98,15.95,1194.03,0.65,1.62,16.7
1001.29,17.43,290.48,13.95,80,19.94,15.95,3.99,9.97,15.93,1193.12,1.92,2.88,29.76
1001.38,17.33,290.38,13.87,80.1,19.82,15.87,3.94,9.92,15.85,1193.67,2.44,3.76,22.66
1001.37,17.3,290.35,13.76,79.7,19.78,15.76,4.02,9.85,15.74,1193.84,2.2,3.44,30.71
1001.33,17.66,290.71,13.86,78.4,20.23,15.86,4.37,9.91,15.84,1192.26,2.12,3.16,17.02
1001.37,17.78,290.83,13.76,77.3,20.39,15.76,4.63,9.85,15.74,1191.86,2.05,3.36,21.68
1001.36,17.89,290.94,13.75,76.7,20.53,15.75,4.78,9.84,15.72,1191.41,1.78,2.88,11.06
1001.37,18.11,291.16,13.86,76.2,20.82,15.86,4.95,9.91,15.84,1190.47,0.88,1.92,39.55
1001.35,18.82,291.87,13.82,72.7,21.76,15.82,5.94,9.89,15.8,1187.57,0.83,1.48,346.2
1001.25,19.31,292.37,13.84,70.6,22.44,15.84,6.6,9.9,15.82,1185.45,0.93,2.12,292.2
1001.15,19.02,292.08,13.65,71,22.04,15.65,6.39,9.78,15.63,1186.6,2.44,4.28,36.89
1001.13,18.41,291.48,13.57,73.4,21.21,15.57,5.64,9.73,15.55,1189.09,2.14,3.84,20.05
1001.06,18.43,291.5,13.55,73.2,21.24,15.55,5.69,9.72,15.53,1188.94,1.6,2.64,52.18
1001.05,18.49,291.56,13.33,71.9,21.32,15.33,5.99,9.58,15.31,1188.78,1.47,2.28,47.28
1000.98,18.71,291.79,13.41,71.3,21.61,15.41,6.2,9.63,15.4,1187.76,0.7,1.52,354.4
1000.89,19.72,292.81,13.59,67.74,23.02,15.59,7.43,9.75,15.58,1183.48,1.12,2.64,204.8
1000.94,20.15,293.23,13.57,65.87,23.64,15.57,8.07,9.73,15.56,1181.82,1.31,2.58,65.39
1000.91,19.74,292.82,13.45,67.01,23.05,15.44,7.6,9.65,15.43,1183.49,2.82,5.28,40.82
1000.85,19.47,292.56,13.4,67.92,22.66,15.39,7.27,9.62,15.38,1184.53,3.22,5.28,33.74
1000.78,19.75,292.84,13.46,67.03,23.06,15.46,7.6,9.66,15.45,1183.29,2.47,4.52,31.79
1000.75,20.17,293.27,13.07,63.66,23.67,15.07,8.6,9.42,15.06,1181.73,2.26,3.96,63.28
1000.64,20.19,293.3,12.54,61.42,23.7,14.55,9.14,9.1,14.55,1181.75,1.74,3.96,53.23
1000.55,20.69,293.8,12.82,60.66,24.44,14.82,9.61,9.27,14.82,1179.52,1.64,4.52,91.8
1000.54,20.68,293.79,12.89,60.97,24.42,14.89,9.53,9.31,14.88,1179.51,2.84,4.48,55.91
1000.4,20.12,293.25,12.89,63.12,23.59,14.89,8.7,9.31,14.89,1181.6,2.93,4.08,44.63
1000.35,20.18,293.31,13.04,63.5,23.68,15.04,8.64,9.4,15.03,1181.22,2.38,4.32,41.75
1000.38,20.8,293.93,13.18,61.68,24.61,15.18,9.43,9.49,15.17,1178.71,3.15,5.44,55.81
1000.41,20.26,293.39,12.73,61.91,23.8,14.73,9.07,9.21,14.73,1181.11,2.1,3.48,61.09
1000.29,20.68,293.82,12.59,59.78,24.42,14.6,9.82,9.13,14.6,1179.35,1.4,2.22,101.5
1000.21,21.38,294.52,12.57,57.19,25.5,14.58,10.92,9.12,14.58,1176.45,2.55,5,54.89
1000.22,21.12,294.26,11.99,55.92,25.09,14.03,11.06,8.77,14.03,1177.75,3.34,4.8,51.01
1000.2,20.82,293.96,11.57,55.42,24.64,13.65,10.98,8.53,13.65,1179.09,2.37,3.8,45.02
1000.19,21.09,294.23,11.93,55.82,25.05,13.98,11.07,8.74,13.98,1177.85,2.69,4.32,39.01
1000.18,21.06,294.2,12.65,58.62,25,14.66,10.35,9.17,14.65,1177.67,3.96,5.8,22.91
1000.14,20.87,294.02,12.51,58.78,24.71,14.53,10.19,9.08,14.52,1178.44,3.79,5.34,40.66
999.98,20.78,293.94,12.42,58.76,24.58,14.44,10.13,9.03,14.44,1178.64,3.18,4.92,22.78
999.91,21.07,294.24,12.36,57.48,25.02,14.38,10.64,8.99,14.38,1177.43,2.98,7.42,36.38
999.92,20.99,294.16,12.09,56.74,24.89,14.13,10.77,8.83,14.13,1177.88,3.21,5,38.07
999.96,20.86,294.02,11.96,56.72,24.7,14.01,10.69,8.76,14.01,1178.49,2.83,4.2,38.22
999.93,20.84,294.01,11.96,56.78,24.67,14.01,10.66,8.76,14.01,1178.54,2.67,3.36,28.94
999.93,20.86,294.03,12.03,56.99,24.7,14.07,10.62,8.8,14.08,1178.43,2.56,3.72,51.26
999.93,20.78,293.95,12,57.14,24.58,14.04,10.53,8.78,14.04,1178.77,2.83,4.16,67.99
999.93,20.7,293.87,11.93,57.16,24.45,13.98,10.48,8.74,13.98,1179.11,2.94,4.28,70.4
999.88,20.59,293.76,11.67,56.57,24.29,13.74,10.55,8.59,13.74,1179.6,2.89,4.52,75.6
999.9,20.59,293.76,11.83,57.18,24.29,13.89,10.4,8.69,13.89,1179.56,2.55,4.16,67.51
999.87,20.46,293.63,12.13,58.78,24.1,14.16,9.93,8.86,14.17,1179.93,2.69,4.28,46.91
999.94,20.51,293.68,12.2,58.87,24.17,14.23,9.94,8.9,14.23,1179.77,2,3.64,73.5
999.99,20.4,293.56,11.9,58.12,24.01,13.95,10.05,8.72,13.95,1180.4,2.72,3.9,65.54
999.94,19.95,293.12,11.96,59.98,23.35,14,9.34,8.76,14,1182.13,2.77,4.48,67.8
999.92,19.67,292.84,12.1,61.59,22.95,14.13,8.81,8.84,14.13,1183.18,2.28,3.28,68.16
999.98,19.49,292.65,12.12,62.39,22.69,14.16,8.53,8.85,14.16,1183.97,1.91,3.24,61.33
1000.13,19.33,292.48,12.08,62.83,22.47,14.12,8.35,8.83,14.11,1184.81,1.95,2.8,58.65
1000.2,19.15,292.29,12.03,63.36,22.22,14.08,8.14,8.8,14.07,1185.65,1.7,2.8,59.76
1000.18,18.95,292.1,12.02,64.1,21.94,14.06,7.88,8.79,14.06,1186.44,1.49,2.68,57.99
1000.18,18.58,291.72,12.07,65.83,21.44,14.11,7.33,8.82,14.11,1187.93,0.56,1.4,40.49
1000.21,18.24,291.38,12.05,67.15,20.99,14.09,6.89,8.81,14.09,1189.35,0.5,1.26,256.8
1000.36,17.82,290.95,12,68.73,20.44,14.05,6.39,8.78,14.04,1191.27,1.08,1.46,224.4
1000.47,17.56,290.68,11.93,69.52,20.11,13.98,6.13,8.74,13.97,1192.49,0.65,1.32,210.1
1000.56,17.49,290.6,11.85,69.47,20.02,13.91,6.11,8.69,13.9,1192.92,0.24,0.86,358.9
1000.6,17.21,290.32,11.78,70.4,19.67,13.85,5.82,8.65,13.84,1194.15,0.8,1.28,243
1000.57,17.17,290.28,11.61,69.79,19.62,13.69,5.93,8.56,13.68,1194.35,0.77,1.5,262.6
1000.65,16.8,289.91,11.48,70.8,19.16,13.57,5.6,8.48,13.56,1196.02,0.88,1.64,197.4
1000.8,16.69,289.78,11.44,71.1,19.03,13.53,5.5,8.45,13.52,1196.68,0.41,0.88,126.3
1000.87,16.5,289.59,11.27,71.2,18.8,13.39,5.41,8.36,13.37,1197.61,0.5,1.12,39.59
1000.9,16.54,289.63,11.29,71.1,18.85,13.4,5.45,8.37,13.39,1197.48,0.84,1.96,87.7
1000.92,16.27,289.35,11.33,72.5,18.53,13.43,5.09,8.39,13.42,1198.6,0.85,1.92,197
1000.88,16.02,289.11,11.25,73.3,18.23,13.37,4.87,8.35,13.35,1199.63,1.27,2.04,229.8
1000.79,15.85,288.95,11.13,73.5,18.04,13.26,4.78,8.28,13.25,1200.27,0.9,1.62,224.1
1000.78,15.66,288.76,11.03,73.9,17.82,13.17,4.65,8.22,13.16,1201.08,1.38,1.76,230.1
1000.82,15.6,288.69,11.03,74.2,17.75,13.17,4.58,8.23,13.16,1201.38,1.03,1.96,249.7
1000.87,15.48,288.57,10.98,74.5,17.61,13.12,4.49,8.2,13.11,1201.96,1.09,1.56,228.7
1001,15.47,288.55,10.91,74.2,17.6,13.06,4.54,8.16,13.05,1202.19,1.39,1.8,247.4
1000.82,15.29,288.38,10.79,74.5,17.4,12.96,4.44,8.1,12.95,1202.77,0.53,1.04,358.7
1000.83,14.68,287.77,11.1,79.1,16.73,13.23,3.5,8.27,13.22,1205.2,0.32,0.6,51.93
1000.86,14.39,287.48,10.93,79.7,16.42,13.09,3.33,8.17,13.07,1206.52,0.43,0.96,72.5
1000.86,13.81,286.9,11.12,83.8,15.81,13.25,2.56,8.28,13.24,1208.89,0.68,1.04,28.55
1000.89,13.54,286.63,10.91,84.1,15.54,13.07,2.47,8.16,13.05,1210.15,0.21,0.56,264.3
1000.9,13.23,286.32,10.5,83.5,15.23,12.71,2.51,7.94,12.7,1211.64,1.54,3.32,235.2
1000.81,13.62,286.71,10.39,80.8,15.62,12.62,3,7.88,12.61,1209.92,1.65,2.32,228.5
1000.78,13.41,286.51,10.3,81.4,15.41,12.54,2.87,7.83,12.53,1210.81,2.3,3.16,239.4
1000.73,13.23,286.33,10.25,82.1,15.23,12.5,2.73,7.81,12.49,1211.53,1.97,2.68,233
1000.74,13.14,286.24,10.23,82.5,15.14,12.49,2.65,7.8,12.48,1211.92,1.87,2.76,233.7
1000.71,12.9,286,10.25,83.9,14.9,12.5,2.4,7.81,12.49,1212.9,1.83,2.76,240
1000.64,12.77,285.88,10.25,84.6,14.77,12.5,2.28,7.81,12.49,1213.36,1.44,2.12,239.6
1000.57,12.69,285.8,10.24,85,14.7,12.49,2.2,7.8,12.48,1213.62,1.02,1.68,234.5
1000.49,12.48,285.6,10.09,85.3,14.5,12.36,2.13,7.72,12.36,1214.48,0.76,1.52,249.3
1000.38,12.12,285.25,10.03,87,14.16,12.32,1.84,7.69,12.31,1215.89,0.31,0.64,68.71
1000.4,11.56,284.69,9.66,88.1,13.64,12.02,1.62,7.51,12.01,1218.45,0.54,0.88,210.9
1000.41,11.4,284.53,9.89,90.4,13.5,12.2,1.3,7.62,12.2,1219.06,1.11,1.96,229.2
1000.4,11.38,284.51,9.98,91.1,13.48,12.28,1.2,7.67,12.27,1219.1,0.92,1.24,219.1
1000.34,11.4,284.53,10.15,92,13.5,12.42,1.08,7.76,12.41,1218.87,0.88,1.46,227.7
1000.35,11.4,284.53,10.23,92.5,13.5,12.48,1.01,7.8,12.48,1218.85,0.46,0.84,212.5
1000.29,11.38,284.52,10.21,92.5,13.48,12.47,1.01,7.79,12.46,1218.88,0.54,1.12,165.7
1000.23,11.3,284.44,10.07,92.1,13.41,12.35,1.06,7.72,12.35,1219.2,0.38,0.8,128.9
1000.17,11.17,284.32,9.87,91.7,13.29,12.19,1.1,7.62,12.19,1219.76,0.39,1.24,119.7
1000.08,10.89,284.04,9.6,91.7,13.05,11.96,1.08,7.48,11.96,1220.96,0.56,1.52,159.5
1000.04,10.69,283.85,9.54,92.6,12.87,11.92,0.95,7.45,11.92,1221.78,0.7,1.22,188.2
999.94,10.55,283.71,9.48,93.1,12.75,11.87,0.88,7.42,11.88,1222.29,0.9,1.28,216.5
999.93,10.5,283.67,9.51,93.6,12.71,11.9,0.81,7.43,11.9,1222.49,0.71,1.2,215.3
999.93,10.51,283.68,9.59,94,12.72,11.96,0.76,7.47,11.96,1222.41,0.89,1.24,205.3
999.89,10.51,283.68,9.6,94.1,12.72,11.97,0.75,7.48,11.97,1222.35,0.55,1,199.2
999.82,10.23,283.4,9.25,93.6,12.48,11.69,0.8,7.3,11.69,1223.61,0.68,1.08,192.4
999.78,10.1,283.28,9.21,94.2,12.38,11.66,0.72,7.29,11.66,1224.14,0.83,1.32,181.8
999.67,10.15,283.34,9.29,94.4,12.42,11.72,0.7,7.33,11.73,1223.76,0.68,1.36,194.3
999.59,10.07,283.26,9.24,94.6,12.35,11.68,0.67,7.3,11.69,1224.02,1.13,1.52,197.7
999.49,10.07,283.27,9.29,94.9,12.35,11.72,0.63,7.33,11.73,1223.88,1.06,1.84,197.7
999.43,9.95,283.16,9.2,95.1,12.25,11.65,0.6,7.28,11.66,1224.35,0.81,1.36,198.7
999.29,9.98,283.2,9.26,95.3,12.28,11.7,0.58,7.32,11.71,1224.03,0.62,0.96,220.7
999.19,9.88,283.11,9.15,95.2,12.2,11.61,0.59,7.26,11.62,1224.38,0.83,1.44,209
999.1,9.78,283.01,9.07,95.3,12.11,11.54,0.57,7.22,11.55,1224.73,1.43,2.08,206.6
998.98,9.76,283,9.09,95.6,12.1,11.57,0.53,7.23,11.58,1224.66,1.22,1.76,201.3
998.93,9.74,282.99,9.12,95.9,12.08,11.59,0.5,7.25,11.6,1224.68,0.63,1.36,160
998.92,9.74,282.99,9.15,96.1,12.08,11.61,0.47,7.26,11.62,1224.65,0.33,0.72,130.4
998.85,9.74,282.99,9.15,96.1,12.08,11.61,0.47,7.26,11.62,1224.57,0.31,0.56,131.4
998.76,9.57,282.83,8.98,96.1,11.94,11.48,0.47,7.18,11.49,1225.26,0.17,0.48,10.99
998.7,9.51,282.78,8.92,96.1,11.9,11.43,0.46,7.15,11.45,1225.47,0.3,0.52,40.25
998.71,9.26,282.52,8.61,95.7,11.7,11.19,0.5,7,11.21,1226.67,0.45,0.8,143.7
998.7,8.97,282.24,8.34,95.8,11.47,10.99,0.48,6.87,11,1228.02,0.54,0.84,186.1
998.79,8.96,282.22,8.39,96.2,11.46,11.03,0.44,6.9,11.04,1228.15,0.24,0.48,207.9
998.82,8.97,282.23,8.43,96.4,11.47,11.06,0.41,6.91,11.07,1228.13,0.45,0.8,227.7
998.84,9.05,282.3,8.57,96.8,11.53,11.16,0.37,6.98,11.18,1227.76,0.51,0.94,194.9
998.91,9.2,282.45,8.76,97.1,11.65,11.31,0.34,7.07,11.32,1227.13,0.33,0.72,186.8
998.94,9.33,282.58,8.92,97.3,11.75,11.43,0.32,7.15,11.45,1226.55,0.42,0.8,178.2
998.94,9.21,282.46,8.77,97.1,11.66,11.32,0.34,7.08,11.33,1227.12,0.49,0.88,137.3
998.92,9.27,282.52,8.88,97.4,11.7,11.4,0.3,7.13,11.41,1226.8,0.59,1.04,188.2
998.87,9.2,282.45,8.8,97.3,11.65,11.33,0.31,7.09,11.35,1227.06,0.71,1.12,214.5
998.86,9.17,282.42,8.78,97.4,11.63,11.32,0.3,7.08,11.34,1227.19,0.64,1.12,241.7
998.84,9.25,282.5,8.89,97.6,11.69,11.41,0.28,7.13,11.42,1226.78,0.46,0.68,237.2
998.81,9.47,282.73,9.11,97.6,11.86,11.58,0.28,7.24,11.59,1225.71,0.82,1.2,200.1
998.78,9.63,282.89,9.27,97.6,11.99,11.7,0.29,7.32,11.72,1224.91,0.7,1.2,198.6
998.82,9.82,283.08,9.44,97.5,12.15,11.84,0.3,7.41,11.86,1224.08,0.89,1.52,199.7
998.78,10.45,283.71,10.06,97.4,12.67,12.34,0.33,7.72,12.36,1221.08,0.74,1.12,158.3
998.67,11.37,284.64,10.72,95.8,13.47,12.9,0.57,8.08,12.92,1216.73,0.85,1.8,182
998.61,12.33,285.6,11.52,94.8,14.35,13.61,0.75,8.52,13.63,1212.24,0.74,1.28,213
998.6,13.4,286.67,12.63,95.1,15.4,14.64,0.75,9.17,14.66,1207.23,0.47,0.96,183.2
998.58,14.24,287.52,13.04,92.5,16.26,15.04,1.22,9.42,15.06,1203.49,0.79,1.96,131.5
998.51,14.53,287.81,12.11,85.4,16.57,14.15,2.42,8.86,14.17,1202.61,0.73,1.72,196.4
998.44,14.94,288.23,11.35,79.1,17.01,13.46,3.56,8.43,13.48,1201.13,1.14,1.72,166.4
998.43,15.3,288.59,11.26,76.8,17.41,13.37,4.04,8.37,13.39,1199.65,0.95,1.76,181.4
998.34,15.92,289.22,11.44,74.7,18.12,13.53,4.58,8.48,13.56,1196.9,1,1.84,191.6
998.26,16.56,289.86,11.73,73.1,18.87,13.8,5.08,8.64,13.82,1194.04,0.66,1.44,164
998.1,17.38,290.7,11.83,69.87,19.88,13.89,5.99,8.7,13.92,1190.44,0.86,1.6,159.9
998.05,17.7,291.02,12.08,69.61,20.29,14.12,6.16,8.85,14.15,1188.96,1.09,1.76,178.2
998,18.1,291.43,12.14,68.15,20.8,14.18,6.63,8.88,14.21,1187.24,1.3,2.48,195.2
997.89,18.61,291.95,12.13,65.95,21.48,14.17,7.31,8.88,14.2,1185.04,1.32,1.88,158.2
997.75,19.15,292.5,12.36,64.72,22.22,14.38,7.84,9.01,14.41,1182.59,1.58,2.56,151.2
997.61,19.72,293.08,12.5,63.04,23.02,14.51,8.51,9.1,14.54,1180.06,1.32,2.2,130
997.39,20.23,293.61,12.85,62.53,23.76,14.85,8.9,9.32,14.89,1177.59,0.93,2.4,155.1
997.27,20.66,294.05,12.95,61.3,24.39,14.95,9.44,9.38,14.99,1175.68,1.49,2.6,177.7
997.12,20.69,294.09,13.1,61.77,24.44,15.1,9.34,9.47,15.14,1175.33,1.88,3.06,190.6
996.96,20.96,294.38,13.31,61.61,24.85,15.31,9.54,9.61,15.36,1173.95,1.25,2.64,197.8
996.76,21.63,295.06,13.41,59.49,25.89,15.4,10.49,9.67,15.45,1171.01,1.19,2.92,180.5
996.64,21.62,295.06,13.42,59.58,25.87,15.42,10.46,9.68,15.47,1170.91,1.3,2.76,324.8
996.49,21.39,294.85,13.45,60.55,25.51,15.45,10.06,9.7,15.5,1171.63,1.12,2.28,80.6
996.24,21.68,295.16,13.63,60.19,25.97,15.63,10.34,9.82,15.69,1170.1,1.93,3.04,35.11
996.13,21.85,295.34,13.52,59.15,26.24,15.52,10.72,9.75,15.58,1169.35,1.86,2.68,40.5
996.02,22.19,295.69,13.58,58.15,26.79,15.58,11.21,9.79,15.64,1167.85,1.58,3,76.3
995.89,22.75,296.26,13.73,56.75,27.72,15.73,11.99,9.88,15.79,1165.41,1.78,3.36,79.4
995.79,23.37,296.89,13.94,55.4,28.78,15.94,12.83,10.02,16.01,1162.76,1.5,2.84,117.7
995.69,23.56,297.09,13.74,54.08,29.11,15.74,13.37,9.89,15.81,1161.99,1.72,3.12,96.2
995.6,23.77,297.3,13.67,53.14,29.48,15.66,13.81,9.84,15.73,1161.1,3.21,5,157.4
995.47,23.73,297.28,13.69,53.35,29.41,15.69,13.72,9.86,15.76,1161.09,2.72,4.84,143.7
995.35,24.14,297.7,13.81,52.45,30.14,15.81,14.33,9.94,15.88,1159.29,2.67,4.46,165
995.24,24.26,297.83,14.05,52.9,30.36,16.06,14.3,10.1,16.14,1158.59,1.95,3.9,106.3
995.09,24.03,297.61,13.91,53.15,29.94,15.91,14.03,10.01,15.99,1159.37,1.65,3.28,71.5
995.02,24.34,297.93,13.97,52.37,30.5,15.97,14.53,10.05,16.05,1158.05,2.89,6.61,144
994.9,24.42,298.02,13.96,52.1,30.65,15.97,14.68,10.04,16.05,1157.61,2.92,5.2,132.3
994.75,24.52,298.13,14.11,52.28,30.83,16.12,14.71,10.14,16.2,1156.97,2.43,5.64,132.1
994.59,24.39,298.01,14.15,52.83,30.59,16.16,14.43,10.17,16.25,1157.28,3.11,6.52,127.4
994.5,24.61,298.24,14.41,53.02,31,16.44,14.56,10.34,16.53,1156.2,2.93,4.76,144.7
994.45,24.71,298.34,14.4,52.67,31.18,16.42,14.76,10.34,16.52,1155.76,2.2,5.28,151.4
994.33,24.99,298.64,14.64,52.64,31.71,16.69,15.02,10.51,16.79,1154.41,2.95,6.12,160.6
994.23,25.13,298.78,14.77,52.62,31.97,16.82,15.15,10.59,16.92,1153.69,2.8,5.52,127.9
994.06,25.03,298.7,14.79,53.02,31.78,16.85,14.93,10.61,16.95,1153.87,2.62,4.84,122.4
993.91,25.07,298.75,14.86,53.13,31.86,16.93,14.93,10.66,17.03,1153.5,2.77,4.84,107.9
993.78,24.92,298.61,15,54.1,31.58,17.08,14.49,10.76,17.19,1153.87,3.26,6.2,106.3
993.76,25.32,299.01,15.09,53.13,32.34,17.18,15.16,10.82,17.29,1152.25,2.55,5.6,132.9
993.63,25.4,299.11,15.28,53.52,32.49,17.39,15.1,10.96,17.5,1151.7,2.52,4.66,91.6
993.43,25.5,299.22,15.45,53.8,32.68,17.58,15.1,11.08,17.7,1150.99,2.13,4.32,109.7
993.29,25.36,299.1,15.5,54.42,32.41,17.64,14.77,11.12,17.76,1151.35,3.46,5.2,89
993.26,25.22,298.96,15.52,54.94,32.15,17.66,14.48,11.13,17.78,1151.85,3.34,5.12,82.9
993.18,25.16,298.9,15.54,55.19,32.03,17.68,14.35,11.15,17.8,1151.97,2.27,5.32,99.6
993.03,25.48,299.24,15.63,54.49,32.65,17.79,14.86,11.22,17.91,1150.51,3.13,5.48,101
992.85,25.31,299.08,15.65,55.11,32.32,17.81,14.51,11.23,17.94,1150.95,2.76,4.96,88.1
992.77,25.28,299.06,15.51,54.69,32.26,17.64,14.62,11.13,17.77,1151.05,3.48,5.28,76.9
992.67,25.23,299.02,15.43,54.6,32.16,17.56,14.6,11.08,17.69,1151.16,3.04,4.48,84.9
992.54,25.32,299.12,15.47,54.43,32.34,17.6,14.74,11.1,17.73,1150.64,2.3,3.98,92.8
992.41,25.33,299.14,15.35,53.99,32.36,17.47,14.89,11.02,17.6,1150.51,3.12,5.44,89.9
992.24,25.28,299.11,15.37,54.21,32.26,17.49,14.77,11.04,17.63,1150.5,2.54,4.16,81.6
992.02,25.25,299.09,15.43,54.51,32.2,17.55,14.65,11.08,17.7,1150.33,2.77,4.28,59.2
991.93,25.2,299.05,15.48,54.85,32.11,17.61,14.5,11.12,17.75,1150.39,2.7,4.32,59.16
991.85,25.03,298.89,15.51,55.51,31.78,17.64,14.14,11.14,17.79,1150.94,3.01,4.24,52.5
991.81,24.72,298.58,15.44,56.3,31.2,17.57,13.64,11.09,17.71,1152.12,2.52,4,59
991.73,24.47,298.34,15.52,57.44,30.74,17.66,13.08,11.15,17.8,1152.95,2.39,3.36,47.85
991.76,24.22,298.08,15.56,58.45,30.28,17.7,12.58,11.18,17.85,1153.94,2.26,4.44,44.8
991.69,23.98,297.85,15.6,59.47,29.85,17.75,12.1,11.21,17.9,1154.77,1.72,2.96,42.95
991.68,23.67,297.54,15.63,60.69,29.3,17.78,11.52,11.23,17.93,1155.95,0.68,1.72,35.24
